symbol,source,headline,summary,published_at,nse_category,raw,score
360ONE,NSE_CORP_ANN,ESOP/ESOS/ESPS,360 ONE WAM LIMITED has informed the Exchange regarding Grant of 3527736  Employee Stock Options (ESOPs),,,"{'symbol': '360ONE', 'desc': 'ESOP/ESOS/ESPS', 'dt': '24122025173051', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/IIFLWAM_24122025172805_20251224GrantofESOPssigned.pdf', 'sm_name': '360 ONE WAM LIMITED', 'sm_isin': 'INE466L01020', 'an_dt': '24-Dec-2025 17:30:51', 'sort_date': '2025-12-24 17:30:51', 'seq_id': '106476776', 'smIndustry': None, 'orgid': None, 'attchmntText': '360 ONE WAM LIMITED has informed the Exchange regarding Grant of 3527736  Employee Stock Options (ESOPs)', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '24-Dec-2025 17:30:52', 'difference': '00:00:01', 'fileSize': '207.12 KB', 'attFileSize': '207.12 KB', 'hasXbrl': True}",0.0
360ONE,NSE_CORP_ANN,Acquisition,"360 ONE WAM LIMITED has informed the Exchange about incorporation of a wholly owned subsidiary of 360 ONE Asset Management Limited,  a wholly owned subsidiary of the Company for carrying out fund management business in Gujarat International Finance Tec-City GIFT City. We wish to inform you that the aforesaid step-down wholly owned subsidiary of the Company is now incorporated in the name of 360 ONE Global Asset Management (IFSC) Limited with a corporate identity number U66300GJ2025PLC171080 on December 23, 2025.",,,"{'symbol': '360ONE', 'desc': 'Acquisition', 'dt': '24122025155637', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/IIFLWAM_24122025155427_20251224IncorporationofsubsidiaryGAMsigned.pdf', 'sm_name': '360 ONE WAM LIMITED', 'sm_isin': 'INE466L01020', 'an_dt': '24-Dec-2025 15:56:37', 'sort_date': '2025-12-24 15:56:37', 'seq_id': '106476539', 'smIndustry': None, 'orgid': None, 'attchmntText': '360 ONE WAM LIMITED has informed the Exchange about incorporation of a wholly owned subsidiary of 360 ONE Asset Management Limited,  a wholly owned subsidiary of the Company for carrying out fund management business in Gujarat International Finance Tec-City GIFT City. We wish to inform you that the aforesaid step-down wholly owned subsidiary of the Company is now incorporated in the name of 360 ONE Global Asset Management (IFSC) Limited with a corporate identity number U66300GJ2025PLC171080 on December 23, 2025.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '24-Dec-2025 15:56:37', 'difference': '00:00:00', 'fileSize': '195.26 KB', 'attFileSize': '195.26 KB', 'hasXbrl': True}",0.0
APLAPOLLO,NSE_CORP_ANN,Updates,"APL Apollo Tubes Limited has informed the Exchange regarding 'Environmental, Social and Governance Report for Financial Year 2024-25'.",,,"{'symbol': 'APLAPOLLO', 'desc': 'Updates', 'dt': '27122025113323', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/APLAPOLLO_27122025113215_REG30-ESG-Report_2024-25.pdf', 'sm_name': 'APL Apollo Tubes Limited', 'sm_isin': 'INE702C01019', 'an_dt': '27-Dec-2025 11:33:23', 'sort_date': '2025-12-27 11:33:23', 'seq_id': '106479556', 'smIndustry': 'Steel And Steel Products', 'orgid': None, 'attchmntText': ""APL Apollo Tubes Limited has informed the Exchange regarding 'Environmental, Social and Governance Report for Financial Year 2024-25'."", 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '27-Dec-2025 11:33:24', 'difference': '00:00:01', 'fileSize': '8.13 MB', 'attFileSize': '8.13 MB', 'hasXbrl': True}",0.0
APLAPOLLO,NSE_CORP_ANN,Trading Window,"APL Apollo Tubes Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,"{'symbol': 'APLAPOLLO', 'desc': 'Trading Window', 'dt': '23122025155301', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/APLAPOLLO_23122025155048_SE_Trading_window_closure.pdf', 'sm_name': 'APL Apollo Tubes Limited', 'sm_isin': 'INE702C01019', 'an_dt': '23-Dec-2025 15:53:01', 'sort_date': '2025-12-23 15:53:01', 'seq_id': '106475143', 'smIndustry': 'Steel And Steel Products', 'orgid': None, 'attchmntText': 'APL Apollo Tubes Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '23-Dec-2025 15:53:03', 'difference': '00:00:02', 'fileSize': '325.81 KB', 'attFileSize': '325.81 KB', 'hasXbrl': True}",0.0
AUBANK,NSE_CORP_ANN,Trading Window,"AU Small Finance Bank Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,"{'symbol': 'AUBANK', 'desc': 'Trading Window', 'dt': '26122025192149', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AUBANK_26122025191944_Window_Closure_Intimation.pdf', 'sm_name': 'AU Small Finance Bank Limited', 'sm_isin': 'INE949L01017', 'an_dt': '26-Dec-2025 19:21:49', 'sort_date': '2025-12-26 19:21:49', 'seq_id': '106479147', 'smIndustry': None, 'orgid': None, 'attchmntText': 'AU Small Finance Bank Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '26-Dec-2025 19:21:50', 'difference': '00:00:01', 'fileSize': '1.07 MB', 'attFileSize': '1.07 MB', 'hasXbrl': True}",0.0
AUBANK,NSE_CORP_ANN,Shareholders meeting,"AU Small Finance Bank Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.",,,"{'symbol': 'AUBANK', 'desc': 'Shareholders meeting', 'dt': '26122025191343', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AUBANK_26122025191242_PB_Voting_Result_SE_Submission.pdf', 'sm_name': 'AU Small Finance Bank Limited', 'sm_isin': 'INE949L01017', 'an_dt': '26-Dec-2025 19:13:43', 'sort_date': '2025-12-26 19:13:43', 'seq_id': '106479132', 'smIndustry': None, 'orgid': None, 'attchmntText': 'AU Small Finance Bank Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '26-Dec-2025 19:13:44', 'difference': '00:00:01', 'fileSize': '1.58 MB', 'attFileSize': '1.58 MB', 'hasXbrl': True}",0.0
ADANIENSOL,NSE_CORP_ANN,Trading Window,"Adani Energy Solutions Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,"{'symbol': 'ADANIENSOL', 'desc': 'Trading Window', 'dt': '25122025191121', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ADANITRANS_25122025191114_AESL_Trading_Window_Intimation.pdf', 'sm_name': 'Adani Energy Solutions Limited', 'sm_isin': 'INE931S01010', 'an_dt': '25-Dec-2025 19:11:21', 'sort_date': '2025-12-25 19:11:21', 'seq_id': '106477498', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Adani Energy Solutions Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '25-Dec-2025 19:11:22', 'difference': '00:00:01', 'fileSize': '152.82 KB', 'attFileSize': '152.82 KB', 'hasXbrl': True}",0.0
ADANIENSOL,NSE_CORP_ANN,General Updates,"Adani Energy Solutions Limited has informed the Exchange about Intimation for Incorporation of a step-down subsidiary, ATSOL Global IFSC Limited.",,,"{'symbol': 'ADANIENSOL', 'desc': 'General Updates', 'dt': '22122025163018', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ADANITRANS_22122025163002_ATSOL_Global_IFSC_Intimation.pdf', 'sm_name': 'Adani Energy Solutions Limited', 'sm_isin': 'INE931S01010', 'an_dt': '22-Dec-2025 16:30:18', 'sort_date': '2025-12-22 16:30:18', 'seq_id': '106473943', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Adani Energy Solutions Limited has informed the Exchange about Intimation for Incorporation of a step-down subsidiary, ATSOL Global IFSC Limited.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '22-Dec-2025 16:30:18', 'difference': '00:00:00', 'fileSize': '178.27 KB', 'attFileSize': '178.27 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Copy of Newspaper Publication,Adani Enterprises Limited has informed the Exchange about Copy of Newspaper Publication regarding First Call Notice.,,,"{'symbol': 'ADANIENT', 'desc': 'Copy of Newspaper Publication', 'dt': '27122025185253', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_27122025185242_Intimation_NewspaperAd_call_notice_dispatch_1.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '27-Dec-2025 18:52:53', 'sort_date': '2025-12-27 18:52:53', 'seq_id': '106479884', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange about Copy of Newspaper Publication regarding First Call Notice.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '27-Dec-2025 18:52:53', 'difference': '00:00:00', 'fileSize': '3.22 MB', 'attFileSize': '3.22 MB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Updates,"Adani Enterprises Limited has informed the Exchange regarding 'Intimation Under The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015 As Amended ('SEBI Listing Regulations') In Relation To The Public Issue Of Non-Convertible Debentures'.",,,"{'symbol': 'ADANIENT', 'desc': 'Updates', 'dt': '24122025143237', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_24122025143229_Stock_Exchange_Intimation_for_DRHP.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '24-Dec-2025 14:32:37', 'sort_date': '2025-12-24 14:32:37', 'seq_id': '106476389', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': ""Adani Enterprises Limited has informed the Exchange regarding 'Intimation Under The Securities And Exchange Board Of India (Listing Obligations And Disclosure Requirements) Regulations, 2015 As Amended ('SEBI Listing Regulations') In Relation To The Public Issue Of Non-Convertible Debentures'."", 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '24-Dec-2025 14:32:38', 'difference': '00:00:01', 'fileSize': '107.75 KB', 'attFileSize': '107.75 KB', 'hasXbrl': True}",0.0
