symbol,source,published_at,headline,summary,clean_text,event_type,is_routine,is_potentially_negative,impact_direction,severity_score,confidence_score,flag_reason,parser_version,human_label,human_comment,raw_id
360ONE,NSE_CORP_ANN,,Trading Window,"360 ONE WAM LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","Trading Window 360 ONE WAM LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015 https://nsearchives.nseindia.com/corporate/iiflwam_29122025154026_20251229closureoftradingwindow_signed.pdf",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
360ONE,NSE_CORP_ANN,,ESOP/ESOS/ESPS,360 ONE WAM LIMITED has informed the Exchange regarding Grant of 3527736  Employee Stock Options (ESOPs),ESOP/ESOS/ESPS 360 ONE WAM LIMITED has informed the Exchange regarding Grant of 3527736 Employee Stock Options (ESOPs) https://nsearchives.nseindia.com/corporate/iiflwam_24122025172805_20251224grantofesopssigned.pdf,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
360ONE,NSE_CORP_ANN,,Acquisition,"360 ONE WAM LIMITED has informed the Exchange about incorporation of a wholly owned subsidiary of 360 ONE Asset Management Limited,  a wholly owned subsidiary of the Company for carrying out fund management business in Gujarat International Finance Tec-City GIFT City. We wish to inform you that the aforesaid step-down wholly owned subsidiary of the Company is now incorporated in the name of 360 ONE Global Asset Management (IFSC) Limited with a corporate identity number U66300GJ2025PLC171080 on December 23, 2025.","Acquisition 360 ONE WAM LIMITED has informed the Exchange about incorporation of a wholly owned subsidiary of 360 ONE Asset Management Limited, a wholly owned subsidiary of the Company for carrying out fund management business in Gujarat International Finance Tec-City GIFT City. We wish to inform you that the aforesaid step-down wholly owned subsidiary of the Company is now incorporated in the name of 360 ONE Global Asset Management (IFSC) Limited with a corporate identity number U66300GJ2025PLC171080 on December 23, 2025. https://nsearchives.nseindia.com/corporate/iiflwam_24122025155427_20251224incorporationofsubsidiarygamsigned.pdf",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
APLAPOLLO,NSE_CORP_ANN,,Updates,"APL Apollo Tubes Limited has informed the Exchange regarding 'Environmental, Social and Governance Report for Financial Year 2024-25'.","Updates APL Apollo Tubes Limited has informed the Exchange regarding 'Environmental, Social and Governance Report for Financial Year 2024-25'. https://nsearchives.nseindia.com/corporate/aplapollo_27122025113215_reg30-esg-report_2024-25.pdf",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
APLAPOLLO,NSE_CORP_ANN,,Trading Window,"APL Apollo Tubes Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","Trading Window APL Apollo Tubes Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015 https://nsearchives.nseindia.com/corporate/aplapollo_23122025155048_se_trading_window_closure.pdf",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
AUBANK,NSE_CORP_ANN,,Trading Window,"AU Small Finance Bank Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","Trading Window AU Small Finance Bank Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015 https://nsearchives.nseindia.com/corporate/aubank_26122025191944_window_closure_intimation.pdf",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
AUBANK,NSE_CORP_ANN,,Shareholders meeting,"AU Small Finance Bank Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.","Shareholders meeting AU Small Finance Bank Limited has submitted the Exchange a copy Srutinizers report of Postal Ballot. Further, the company has informed the Exchange regarding voting results. https://nsearchives.nseindia.com/corporate/aubank_26122025191242_pb_voting_result_se_submission.pdf",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENSOL,NSE_CORP_ANN,,Trading Window,"Adani Energy Solutions Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","Trading Window Adani Energy Solutions Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015 https://nsearchives.nseindia.com/corporate/adanitrans_25122025191114_aesl_trading_window_intimation.pdf",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENSOL,NSE_CORP_ANN,,General Updates,"Adani Energy Solutions Limited has informed the Exchange about Intimation for Incorporation of a step-down subsidiary, ATSOL Global IFSC Limited.","General Updates Adani Energy Solutions Limited has informed the Exchange about Intimation for Incorporation of a step-down subsidiary, ATSOL Global IFSC Limited. https://nsearchives.nseindia.com/corporate/adanitrans_22122025163002_atsol_global_ifsc_intimation.pdf",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
ADANIENT,NSE_CORP_ANN,,Shareholders meeting,"Adani Enterprises Limited has submitted the Exchange a copy Srutinizers report of  Court Convened General Meeting held on December 29, 2025. Further, the company has informed the Exchange regarding voting results.","Shareholders meeting Adani Enterprises Limited has submitted the Exchange a copy Srutinizers report of Court Convened General Meeting held on December 29, 2025. Further, the company has informed the Exchange regarding voting results. https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_29122025202005_aelscrutinizerreport29122025.pdf",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
